step,path1,path2,path3,path4,path5,path6,path7,path8,path9,path10,path11,path12,path13,path14,path15,path16,path17,path18,path19,path20,path21,path22,path23,path24,path25,path26,path27,path28,path29,path30,path31,path32,path33,path34,path35,path36,path37,path38,path39,path40,path41,path42,path43,path44,path45,path46,path47,path48,path49,path50
22,99.81312033,102.1843433,94.00691459,106.8823249,104.3135012,100.1452271,104.5694002,106.258111,104.5102499,105.0058703,101.272049,105.9661621,100.8814725,103.9236762,103.1231641,100.3914676,89.49052851,105.0893047,101.6632592,108.8040723,96.45467122,104.815322,103.656129,87.26095203,112.8057471,97.83342976,108.6875979,109.8410562,95.81244086,102.375202,88.97784993,110.3463595,100.678737,92.8495186,99.25709346,98.35585373,99.63495585,94.67340208,105.9702911,95.96860883,100.5852885,90.76526153,95.67261126,99.72937712,111.3211952,93.40739516,96.38922674,110.3052669,108.0450918,108.6556546
23,101.2780586,102.3236081,93.79449703,107.9228312,104.643116,99.68904668,104.4858693,106.2495456,106.2883594,104.7064013,103.8058016,105.5181382,102.1698676,103.1303575,102.3018975,99.57645734,90.95561053,102.8023344,103.7831139,111.1689768,97.78787684,106.2301264,105.564426,88.59549196,109.5989848,95.81694216,110.5984651,108.7911609,94.40015341,100.5347176,88.89783075,111.3942572,100.8918477,93.09073657,97.895493,97.42816053,98.42724432,94.14812838,103.8141463,95.56935746,98.52051514,92.44139047,97.56279365,98.81616643,112.7932032,94.14547997,97.18361165,111.4513324,109.0812983,111.0616594
24,100.2296425,101.0453935,95.05266212,107.4464941,102.5004587,97.89087109,104.4856183,106.5450341,107.2851988,106.1206897,104.1530347,104.9342996,103.1675899,105.30932,103.0643934,96.78504491,91.97382386,102.2091467,101.4490733,109.5908028,97.59110001,107.9018088,106.7543144,86.01842625,109.3848424,96.81218776,109.5089876,107.3228508,92.92357842,99.52810988,87.01499429,109.5153048,100.0257654,93.61342448,98.25371644,98.57188537,95.58437911,91.11243567,104.3435458,93.60142696,97.93331674,91.32841992,97.85860196,98.27867558,114.8697781,94.13046171,95.3228346,111.8483892,109.1075426,110.8000046
25,101.0190754,100.6284129,93.75504052,105.7419484,101.1931847,97.62710649,104.3262944,107.0413063,105.9050262,106.9045423,104.174666,105.6793049,102.9693753,105.0421427,106.0319234,96.82903767,92.55292516,100.8589017,101.958905,110.0457568,97.5724983,107.4225451,108.5803786,85.51960935,109.5151508,97.53292589,110.770835,108.5031912,93.48459564,98.19498992,85.78889611,109.0154109,100.5901599,95.35048407,100.0408452,98.58935955,95.83796128,90.89186495,105.9935134,94.52891572,99.18063844,90.41185291,98.40613059,99.79998372,116.8828619,94.60116555,97.36825657,112.5043643,107.7308392,108.6993427
26,101.9838492,102.1100411,94.44225116,105.857129,102.3507804,97.2196864,105.0566866,106.4772244,107.7084757,107.6450171,104.705717,105.2509733,104.4147628,105.8251106,106.4874291,96.58418673,93.22692305,102.3031853,102.3504546,109.742606,97.09032789,105.3951346,110.5140787,85.27373689,111.83068,96.98127731,110.3971414,108.8887919,94.90914054,98.6947252,86.87527701,108.8873165,100.8357771,93.91576506,97.9477015,99.65368903,96.04056821,90.56746216,105.2420241,94.91021125,97.87331928,89.33963002,99.54422479,100.0731656,116.2652548,94.87902108,97.75633334,111.9266134,106.6028192,107.7960302
27,103.9852411,101.1015186,95.24278721,105.0741346,102.6520758,95.49592118,106.1466837,108.140879,109.0176746,109.4845211,102.5515932,103.863735,102.932815,106.7695473,105.3939452,96.83176628,94.6116083,100.1416197,101.6609859,111.1826319,96.30871581,104.8105533,110.3923303,86.02476201,113.3484228,95.69404258,111.7040643,109.4898837,95.10457735,99.78945839,84.84980635,109.0803539,100.0468197,94.60951114,95.52873992,100.3315196,97.22830404,90.91659436,103.9002971,94.95510941,97.66785417,87.74822565,99.33762218,102.4344942,114.8896085,95.24853734,98.04453399,112.7874835,106.5944269,109.4317317
28,103.2967578,101.2789695,95.53901662,105.8242099,99.61814705,97.33866983,107.2756054,107.9971146,109.5672892,111.7162012,103.0112889,103.0437359,104.3555056,106.7308676,107.1766354,98.7783083,95.01863289,97.60636635,99.52960611,110.8603459,94.59943126,103.6672795,110.2774871,84.63160391,113.1349888,96.15100805,111.1209991,108.1404617,96.84823525,99.89365274,83.42849105,109.9435544,100.3194827,94.74258591,96.53359596,100.9660679,99.00859783,91.65405867,103.6309574,92.26252198,95.77966863,87.91556725,99.67855445,102.4669414,117.5238254,95.65394706,98.75188855,113.0393512,108.827603,108.8744923
29,105.745065,103.9912806,94.58704922,104.2551046,99.92066759,97.85174483,108.5994973,108.5371313,110.2846639,110.3210462,101.5427946,102.4058714,104.5634049,108.9517324,109.6758211,98.12012713,94.75468175,98.08380123,99.15561055,113.2307912,96.41720473,105.8950229,108.3008656,84.57889341,113.3763076,97.26235275,113.6570464,109.386174,97.7352995,100.6142709,84.34930397,111.438952,99.73610313,94.70214809,96.5063812,102.4855614,99.18066309,91.74452545,104.9214259,91.79852937,94.82038833,88.24232489,97.38238768,100.5102752,114.7889032,94.2040933,100.7857438,112.9588137,109.6721744,110.572357
30,105.2485762,104.4036278,93.77359741,107.4210274,101.4836886,98.3449388,109.5620619,107.8300189,106.4324511,112.3902547,103.109005,103.1918065,104.6601124,106.7986277,109.7718111,97.01270503,95.71045115,99.37450359,98.14975332,111.7348352,95.76386654,106.5227479,106.6469854,85.02149332,112.1369359,97.6185861,115.2859689,109.6213705,97.26643045,101.8428327,86.68605844,113.5105708,99.80255825,95.21774055,94.37285402,102.3324002,98.27341654,92.94716926,106.6504065,90.96454656,94.90934391,89.80452875,96.85612271,99.92301806,114.4686776,96.15696179,99.89930458,111.6107956,108.8927976,110.2864665
31,109.3965211,103.0931547,92.63684369,106.4475708,101.024369,96.84658523,110.4960742,108.5923984,106.2063665,110.9943016,103.8420678,102.4255471,102.5352282,107.1155166,107.7832658,97.72971875,96.96147441,97.59149775,97.92730833,109.3287067,98.37951888,104.7231507,106.9661992,85.82196553,112.547769,97.6519173,116.4706132,111.6079454,96.65706788,101.2291327,87.15791232,109.6180071,97.99630837,95.47456885,93.49477951,101.7282825,96.95248086,93.91108435,106.5920287,91.29966282,95.49423307,91.80005622,96.36436625,98.32765628,116.4189791,96.24762508,99.09754321,112.3540286,113.2456992,109.2834038
32,108.1342089,105.1742386,94.03574798,105.9961793,102.2039645,96.50301757,109.0361471,109.6847423,104.2028217,110.8446921,103.2111158,101.7483189,104.6723665,104.7958872,108.4478708,100.0817399,97.07134494,96.67247137,97.82562996,110.6503992,98.88544403,105.4049058,106.998729,84.82025296,114.7458117,97.35983167,117.6496703,111.7469324,95.86784988,102.0015687,87.55897592,107.7825227,99.59816803,96.95575287,95.63174566,100.1409268,97.5683775,93.43816239,105.159286,93.07520368,95.11508872,92.4498418,95.73113398,96.91371388,117.1855516,97.66277076,97.90537354,112.1695199,113.2892158,107.8171311
33,106.372822,105.2259502,93.16743298,107.1985776,103.4623179,96.37216698,113.1644496,111.9868492,104.7234816,112.2275463,104.2613354,101.796975,106.5625784,105.6151612,109.5945349,98.91589954,94.90055145,95.05001797,98.31224695,111.0952515,97.05796439,105.8444631,106.8576779,85.31915965,114.8705156,98.2482092,115.8687412,113.9413803,95.57650518,104.6061262,88.48892478,109.3023236,100.0784358,96.74603458,94.88762758,99.12936816,96.47344539,94.39431433,105.9912506,93.1685778,95.82175056,93.27367782,93.92209362,97.57907942,117.7814228,96.78813008,99.08988028,112.7254722,112.9993986,106.9964554
