num_paths,mean_discounted_payoff
1236,59.21523452
1237,59.19939913
1238,59.19867199
1239,59.19046853
1240,59.18994497
1241,59.19809411
1242,59.17386717
1243,59.17413688
1244,59.14212479
1245,59.14391497
1246,59.11220991
1247,59.09343289
1248,59.06284014
1249,59.06743973
1250,59.0306168
1251,59.01202618
1252,58.99408072
1253,58.99440266
1254,58.99523167
1255,59.0049671
1256,58.9830937
1257,58.96939771
1258,58.99173705
1259,58.96789826
1260,58.96328074
1261,58.96684669
1262,58.97389999
1263,58.97235578
1264,58.9654976
1265,58.94730906
1266,58.93207627
1267,58.90391809
1268,58.87821939
1269,58.84413785
1270,58.83483552
1271,58.81903823
1272,58.85018615
1273,58.85339278
1274,58.84906113
1275,58.86133387
1276,58.83116845
1277,58.83150969
1278,58.86443899
1279,58.8573781
1280,58.84830299
1281,58.82942908
1282,58.82264121
1283,58.8089027
1284,58.82876537
1285,58.80638851
1286,58.83346343
1287,58.82075586
1288,58.82461792
1289,58.82656208
1290,58.82804782
1291,58.80427996
1292,58.8001891
1293,58.76467759
1294,58.74264469
1295,58.74170271
1296,58.71118194
1297,58.71024867
1298,58.73856109
1299,58.72170831
1300,58.72706324
1301,58.75413768
1302,58.73740763
1303,58.73373668
1304,58.71610828
1305,58.69593451
1306,58.68083123
1307,58.68083126
1308,58.70502441
1309,58.70289068
1310,58.69855008
1311,58.68510599
1312,58.71984561
1313,58.70666475
1314,58.70527951
1315,58.68682672
1316,58.7044515
1317,58.67287698
1318,58.65877625
1319,58.66303178
1320,58.63971045
1321,58.62691723
1322,58.62519687
1323,58.60173672
1324,58.58517194
1325,58.56042311
1326,58.55095211
1327,58.54285723
1328,58.53604041
1329,58.50640569
1330,58.48619771
1331,58.49851112
1332,58.47232138
1333,58.45722512
1334,58.43393972
1335,58.4011238
1336,58.3818362
1337,58.37621745
1338,58.40635053
1339,58.38237879
1340,58.34098979
1341,58.34542874
1342,58.35438174
1343,58.33199817
1344,58.30835553
1345,58.30606512
1346,58.33156283
1347,58.29775111
